group,gid
0,135610
0,136867
0,145789
0,135592
0,136391
0,145627
0,135157
0,136276
0,145629
0,136383
0,146979
0,135681
0,137244
0,147623
0,136068
0,136441
0,135158
0,136138
0,155961
0,145989
0,136764
0,137530
0,135805
0,136748
0,145594
0,134879
0,145610
0,136024
0,136925
0,136633
0,148123
0,147124
0,135520
0,146159
0,148078
0,136142
0,137367
0,136804
0,137556
0,135282
0,136235
0,135026
0,135286
0,135703
0,136590
0,134945
0,135595
0,136751
0,147936
0,135838
0,136936
0,134864
0,147304
0,135781
0,137094
0,146089
0,146819
0,135240
0,136601
0,137238
0,137264
0,137220
0,137075
0,134882
0,146807
0,135836
0,136422
0,137381
0,136244
0,136918
0,136607
0,135091
0,146806
0,137388
0,136897
0,136430
0,137273
0,146341
0,147320
0,136415
0,134867
0,137227
0,136103
0,137363
0,148103
0,137270
0,137254
0,135852
0,147110
0,136035
0,135865
0,136584
0,137551
0,145975
0,135806
0,136761
0,137259
0,136253
0,135027
0,147943
0,136585
0,135644
0,136237
0,137252
0,146093
0,145986
0,147108
0,136746
0,136420
0,137218
0,147309
0,136440
0,136617
0,136049
0,136210
0,136803
0,136023
0,135671
0,146002
0,136050
0,136097
0,136592
0,136062
0,136727
0,146352
0,147624
0,137559
0,146665
0,147300
0,136424
0,147463
0,135465
0,137071
0,147333
0,135835
0,145799
0,146832
0,147157
0,136254
0,147457
0,146092
0,136111
0,137115
0,137257
0,136067
0,147462
0,136260
0,136316
0,136788
0,146974
0,136733
0,135160
0,135328
0,160878
0,145601
0,136044
0,136951
0,136614
0,136744
0,147290
0,148092
0,136056
0,146967
0,136078
0,137217
0,135433
0,137527
0,146513
0,136571
0,136577
0,146005
0,146179
0,135024
0,136922
0,136934
0,135441
0,135310
0,136282
0,136567
0,146521
0,147626
0,134869
0,137082
0,136943
0,146872
0,147471
0,135693
0,137390
0,136454
0,147302
0,135990
0,135516
0,136389
0,135031
0,136433
0,145630
0,147625
0,136852
0,137266
0,135591
0,135627
0,146000
0,134947
0,135594
0,147465
0,135637
0,136929
0,135653
0,145641
0,146348
0,136604
0,137534
0,145991
0,147627
0,137464
0,145995
0,135590
0,135645
0,147313
0,146816
0,136726
0,159554
0,145640
0,147129
0,136376
0,136463
0,136618
0,146003
0,137074
0,135238
0,146539
0,135166
0,135171
0,146359
0,136413
0,145608
0,135494
0,135862
0,136079
0,136605
0,147147
0,157896
0,137407
0,136917
0,137234
0,136603
0,146520
0,136782
0,136324
0,135788
0,135800
0,146189
0,146512
0,135682
0,136799
0,135023
0,146166
0,136851
0,145811
0,136884
0,146524
0,146811
0,136574
0,135840
0,136798
0,136745
0,137373
0,150324
0,147322
0,145974
0,145795
0,135434
0,136460
0,135866
0,137054
0,147118
0,136650
0,136587
0,136134
0,146652
0,137093
0,137068
0,145994
0,145807
0,136040
0,136061
0,137100
0,137403
0,137104
0,137243
0,146181
0,5428
0,137553
0,146196
0,136018
0,146340
0,147112
0,136905
0,135670
0,137219
0,145602
0,146527
0,136009
0,146570
0,137052
0,137366
0,137395
0,147602
0,137256
0,136646
0,136226
0,136639
0,147466
0,136293
0,147115
0,145797
0,135839
0,136108
0,135096
0,146694
0,136735
0,136913
0,136417
0,145636
0,136046
0,136077
0,136728
0,136135
0,135462
0,136259
0,134876
0,137105
0,146538
0,145998
0,136898
0,135161
0,136271
0,135156
0,136731
0,137463
0,146186
0,135335
0,136470
0,146536
0,136296
0,136258
0,145605
0,135176
0,137385
0,147134
0,136933
0,137050
0,135871
0,137025
0,135697
0,136901
0,146671
0,137548
0,135510
0,136311
0,136058
0,135883
0,146362
0,147114
0,136781
0,136233
0,137022
0,134874
0,136431
0,137408
0,136887
0,146160
0,145968
0,136279
0,136849
0,147131
0,136456
0,146971
0,135094
0,136377
0,135634
0,147490
0,146670
0,147301
0,135334
0,136122
0,136944
0,137253
0,135876
0,135853
0,137560
0,135099
0,146829
0,136899
0,135815
0,134856
0,147288
0,148114
0,136063
0,136104
0,135687
0,135816
0,136569
0,136325
0,137044
0,137087
0,145787
0,137522
0,135474
0,136572
0,136857
0,137272
0,136902
0,137520
0,135793
0,136286
0,136904
